SITE,N CHICKS,DATE,AGE CHICKS,START TIME,END TIME,IVIs,IVInum
45,3,20-Jul-18,3,15:28:29,13:35:24,01:47:04,0.0744
53,3,30-Jul-18,14,19:32:53,19:36:22,01:47:25,0.0746
18,4,23-Jul-18,11,10:04:57,10:09:01,01:47:23,0.0746
80,3,31-Jul-18,18,16:44:13,16:46:33,01:47:32,0.0747
30,3,23-Jul-18,8,09:50:00,09:55:30,01:48:58,0.0757
18,3,03-Aug-18,22,15:02:08,15:04:00,01:49:16,0.0759
80,3,31-Jul-18,18,08:55:00,09:00:00,01:50:00,0.0764
18,4,21-Jul-18,9,17:20:00,17:26:02,01:50:09,0.0765
29,2,15-Jul-18,2,17:04:11,15:08:30,01:50:42,0.0769
29,1,28-Jul-18,15,09:02:38,09:10:53,01:50:53,0.077
45,3,11-Aug-18,26,16:35:55,16:36:42,01:50:55,0.077
18,2,15-Jul-18,3,10:10:00,10:15:00,01:51:04,0.0771
30,3,19-Jul-18,4,22:02:31,22:07:05,01:51:05,0.0771
77,3,01-Aug-18,16,10:35:20,10:45:00,01:51:12,0.0772
18,4,25-Jul-18,13,08:50:28,08:55:12,01:51:11,0.0772
45,3,10-Aug-18,25,21:12:53,21:15:43,01:51:06,0.0772
78,2,06-Aug-18,20,16:46:05,16:50:00,01:51:18,0.0773
18,3,03-Aug-18,22,08:34:03,08:36:42,01:51:27,0.0774
33,2,06-Aug-18,17,07:54:46,08:10:37,01:51:25,0.0774
33,2,31-Jul-18,11,20:14:22,20:18:45,01:51:32,0.0775
33,2,02-Aug-18,13,09:59:57,10:04:03,01:51:37,0.0775
53,3,31-Jul-18,15,09:33:33,09:40:56,01:51:42,0.0776
53,3,25-Jul-18,9,07:52:52,08:04:41,01:52:02,0.0778
29,1,27-Jul-18,14,18:32:45,18:38:23,01:52:00,0.0778
3,4,27-Jul-18,12,08:41:09,08:44:53,01:52:14,0.0779
33,2,12-Aug-18,23,11:16:17,11:19:00,01:52:12,0.0779
45,3,22-Jul-18,5,07:56:45,08:04:55,01:52:21,0.078
22,3,21-Jul-18,10,11:35,11:38:29,01:52:30,0.0781
45,3,10-Aug-18,25,18:10:00,18:13:02,01:52:42,0.0783
75,2,26-Jul-18,15,05:42:01,05:46:20,01:53:35,0.0789
53,3,26-Jul-18,10,09:47:38,09:59:00,01:53:40,0.0789
77,3,20-Jul-18,4,22:49:07,22:57:30,01:54:07,0.0792
97,2,02-Aug-18,19,17:25:58,16:29:40,01:54:12,0.0793
